No.;step;generated_smiles;canonical_smiles;predicted_pIC50;SAScore;in_AD;Muegge rules;
1;63;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1;7.2693;1.728;true;yes;
2;196;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Br)cc2Br)cc1;7.2443;1.874;true;yes;
3;198;O=C(NO)c1ccc(NC(=O)c2cc(Br)cc(Br)c2F)cc1;O=C(NO)c1ccc(NC(=O)c2cc(Br)cc(Br)c2F)cc1;7.2368;2.132;true;yes;
4;76;N#Cc1cccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)c1;N#Cc1cccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)c1;7.2148;2.02;true;yes;
5;235;O=C(NO)c1ccc(Br)c(NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1ccc(Br)c(NS(=O)(=O)c2ccccc2)c1;7.2087;1.932;true;yes;
6;201;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Br)cc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)cc(Br)cc2Br)cc1;7.0933;2.179;true;yes;
7;66;CC(=O)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;CC(=O)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1;7.0896;1.822;true;yes;
8;42;O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2)cc1;7.0891;1.677;true;yes;
9;202;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)c(F)c2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(Cl)c(F)c2)cc1;7.0545;1.754;true;yes;
10;72;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1C;Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1C;7.0239;1.642;true;yes;
11;78;O=C(NO)c1ccc(NC(=O)c2cccc(F)c2)cc1;O=C(NO)c1ccc(NC(=O)c2cccc(F)c2)cc1;7.0237;1.629;true;yes;
12;81;O=C(NO)c1cccc(S(=O)(=O)Nc2ccc(Br)cc2)c1;O=C(NO)c1cccc(S(=O)(=O)Nc2ccc(Br)cc2)c1;6.9875;1.863;true;yes;
13;202;O=C(NO)c1ccc(NC(=O)c2cc(F)ccc2F)cc1;O=C(NO)c1ccc(NC(=O)c2cc(F)ccc2F)cc1;6.9613;1.773;true;yes;
14;197;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Br)c2Br)cc1;O=C(NO)c1ccc(NC(=O)c2c(F)c(F)cc(Br)c2Br)cc1;6.958;2.377;true;yes;
15;82;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(Br)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(Br)c2)c1;6.9521;1.928;true;yes;
16;61;CC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;CC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;6.9408;1.645;true;yes;
17;202;O=C(NO)c1ccc(NC(=O)c2cc(F)cc(Br)c2)cc1;O=C(NO)c1ccc(NC(=O)c2cc(F)cc(Br)c2)cc1;6.9301;1.891;true;yes;
18;62;CC(=O)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;CC(=O)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;6.9277;1.645;true;yes;
19;200;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2F)cc1;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2F)cc1;6.926;1.812;true;yes;
20;70;NC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;NC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1;6.9153;1.671;true;yes;
21;161;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Br)cc1Br;Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Br)cc1Br;6.9128;1.982;true;yes;
22;177;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)cc(Br)c1F;Cc1ccc(C(=O)NO)cc1NC(=O)c1cc(Br)cc(Br)c1F;6.9121;2.23;true;yes;
23;233;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(Cl)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cccc(Cl)c2)c1;6.9079;1.868;true;yes;
24;166;O=C(NO)c1ccc(C(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;O=C(NO)c1ccc(C(F)F)c(NC(=O)c2ccc(Br)cc2Br)c1;6.9065;2.383;true;yes;
25;79;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Br)cc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccc(Br)cc2)c1;6.9053;1.856;true;yes;
26;199;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2Br)cc1;O=C(NO)c1ccc(NC(=O)c2cc(Br)ccc2Br)cc1;6.8997;1.873;true;yes;
27;69;O=C(NO)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;O=C(NO)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1;6.898;1.766;true;yes;
28;66;c1(C)ccc(NC(c2c(C)cc(C(NO)=O)cc2)=O)cc1 ;c1(C)ccc(NC(c2c(C)cc(C(NO)=O)cc2)=O)cc1 ;6.893;1.535;true;yes;
29;202;O=C(NO)c1ccc(NC(=O)c2c(Cl)ccc(F)c2Cl)cc1;O=C(NO)c1ccc(NC(=O)c2c(Cl)ccc(F)c2Cl)cc1;6.887;2.024;true;yes;
30;179;Cc1ccc(C(=O)NO)cc1NCc1cc(Br)cc(Br)c1F;Cc1ccc(C(=O)NO)cc1NCc1cc(Br)cc(Br)c1F;6.8773;2.358;true;yes;
31;240;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1;6.8771;2.056;true;yes;
32;71;O=C(NO)c1cccc(CNS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(CNS(=O)(=O)c2ccccc2)c1;6.8722;1.801;true;yes;
33;181;Cc1ccc(C(=O)NO)cc1NCc1ccc(Br)cc1Br;Cc1ccc(C(=O)NO)cc1NCc1ccc(Br)cc1Br;6.8718;2.109;true;yes;
