;model;task;step;batch_idx;absolute_time;smiles;valid;valid_score;unique;occurrences;hdac8_pIC50;hdac8_in_AD;lin_thresh_hdac8_pIC50;step_hdac8_in_AD;single;filter;filtered_single;passes_diversity_filter;score_time;diversity_filter;diversity_filter_params;prior;agent;batch_size;rl_strategy;sigma;loss;prior_nll;agent_nll
0;RNN;HDAC8_pIC50_AD_reward;0;0;10.49558424949646;CCN(CCO)c1ncnc(-c2cc(C#N)cc(F)c2OCC(F)(F)F)n1;true;1;true;0;6.050120893779946;0.0;0.7117789286799936;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;35.792263;35.79226
1;RNN;HDAC8_pIC50_AD_reward;0;1;10.49558424949646;Nc1cccc2c1OC(CNCc1ccccc1)C2;true;1;true;0;5.841536197341577;0.0;0.6872395526284208;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;24.180967;24.180973
2;RNN;HDAC8_pIC50_AD_reward;0;2;10.49558424949646;Cc1ccc(Nc2ncnc3c(O)cc4ccc(=O)n(C)c4c23)cc1;true;1;true;0;5.6038668665026155;0.0;0.6592784548826607;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;33.996155;33.99616
3;RNN;HDAC8_pIC50_AD_reward;0;3;10.49558424949646;O=C(CCC(=O)c1cccc(Br)c1)NC1CCCCC1;true;1;true;0;5.82270348168406;0.0;0.6850239390216541;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;23.1374;23.137405
4;RNN;HDAC8_pIC50_AD_reward;0;4;10.49558424949646;OCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1;true;1;true;0;6.081771759227454;0.0;0.7155025599091123;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;19.163113;19.163113
5;RNN;HDAC8_pIC50_AD_reward;0;5;10.49558424949646;N#Cc1ncc(C2CC2CNc2cccc(C(F)(F)F)c2)c2nccnc12;true;1;true;0;5.799909310989469;0.0;0.6823422718811141;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;38.436665;38.43667
6;RNN;HDAC8_pIC50_AD_reward;0;6;10.49558424949646;NC(=NO)c1cccc(N)c1;true;1;true;0;5.593876056166142;0.0;0.6581030654313108;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;21.589193;21.589188
7;RNN;HDAC8_pIC50_AD_reward;0;7;10.49558424949646;COc1cc2ccc(C(=O)N3CCC3)cc2nc1OC;true;1;true;0;5.612644918220728;0.0;0.6603111668494974;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;1.4551915e-11;29.13648;29.136484
8;RNN;HDAC8_pIC50_AD_reward;0;8;10.49558424949646;CN1CC2CN(c3ccc(C(=O)Nc4ccc(OC(F)(F)F)cc4)cn3)CC2C1;true;1;true;0;5.558723852012605;0.0;0.653967512001483;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;0.0;21.18029;21.18029
9;RNN;HDAC8_pIC50_AD_reward;0;9;10.49558424949646;CCCCCCC(=O)Nc1nc2ccccc2s1;true;1;true;0;5.39962382311553;0.0;0.6352498615430034;0.0;0.0;0.0;0.0;True;65.1627585887909;Unique;;ChEMBL28pur.ckpt;ChEMBL28pur.ckpt;128;RV;120;3.274181e-11;20.83156;20.831554
