No.,generated_smiles,canonical_smiles,predicted_pIC50,SAScore,in_AD,Muegge rules
1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1,7.2431,1.934,True,yes
2,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(C(=O)NO)c2)cc1,7.2425,2.013,True,yes
3,O=[SH]Nc1ccc(C(=O)NO)cc1,O=[SH]Nc1ccc(C(=O)NO)cc1,7.2009,3.099,True,yes
4,O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1,7.1646,1.835,True,yes
5,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.1555,1.725,True,yes
6,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccccc3)c2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccccc3)c2)cc1,7.1493,2.052,True,yes
7,CC(C)c1ccc(-c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1,CC(C)c1ccc(-c2ccc(S(=O)(=O)Nc3ccc(C(=O)NO)cc3)cc2)cc1,7.1441,1.938,True,yes
8,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,7.0986,1.963,True,yes
9,COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,COc1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.0742,1.733,True,yes
10,O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2)c1,7.0578,1.728,True,yes
11,O=C(NO)c1ccc(NC(=O)c2ccc(CO)cc2)cc1,O=C(NO)c1ccc(NC(=O)c2ccc(CO)cc2)cc1,7.0532,1.666,True,yes
12,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1,O=C(NO)c1ccc(NS(=O)(=O)c2ccc(O)cc2)cc1,7.0484,1.827,True,yes
13,O=C(NO)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1,O=C(NO)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1,7.0258,1.877,True,yes
14,Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1,Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1,7.025,1.535,True,yes
