No.;generated_smiles;canonical_smiles;predicted_pIC50;SAScore;in_AD;Muegge rules
1.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)cc1;7.3879;2.053;True;
2.0;O=C(NO)c1ccc(NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2ccccc2)cc1;7.3457;2.32;True;
3.0;O=C(NO)c1ccc(NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2cc(C(=O)NO)ccc2NS(=O)(=O)c2ccccc2)cc1;7.3457;2.768;True;
4.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;7.3346;2.327;True;
5.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccc(C(=O)NO)cc2NS(=O)(=O)c2ccccc2)cc1;7.3346;2.777;True;
6.0;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;7.3334;2.088;True;
7.0;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;O=C(NO)c1cccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2NS(=O)(=O)c2ccccc2)c1;7.3334;2.439;True;
8.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cccc(C(=O)NO)c3)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cccc(C(=O)NO)c3)cc2)cc1;7.2932;2.114;True;
1.0;Cc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(C(C)(C)C)cc1;Cc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(C(C)(C)C)cc1;7.2435;1.907;True;yes
2.0;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1;O=C(NO)c1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1;7.2431;1.934;True;yes
