molecule_chembl_id,canonical_smiles,pchembl_value_mean,pchembl_value_std,inchi
CHEMBL336935,O=CN(O)CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc1ccc2ncccc2c1,6.1,0.0,"InChI=1S/C27H27N5O4/c33-18-32(36)15-3-1-2-8-23(26(34)30-21-9-11-24-19(16-21)6-4-13-28-24)27(35)31-22-10-12-25-20(17-22)7-5-14-29-25/h4-7,9-14,16-18,23,36H,1-3,8,15H2,(H,30,34)(H,31,35)"
CHEMBL140525,O=CN(O)CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc1cnc2ccccc2c1,6.16,0.0,"InChI=1S/C27H27N5O4/c33-18-32(36)13-7-1-2-10-23(26(34)30-21-14-19-8-3-5-11-24(19)28-16-21)27(35)31-22-15-20-9-4-6-12-25(20)29-17-22/h3-6,8-9,11-12,14-18,23,36H,1-2,7,10,13H2,(H,30,34)(H,31,35)"
CHEMBL141082,O=CN(O)CCCCCC(=O)Nc1ccccc1,5.17,0.0,"InChI=1S/C13H18N2O3/c16-11-15(18)10-6-2-5-9-13(17)14-12-7-3-1-4-8-12/h1,3-4,7-8,11,18H,2,5-6,9-10H2,(H,14,17)"
CHEMBL141909,O=CN(O)CCCCCCCC(=O)Nc1ccc2ccccc2c1,6.11,0.0,"InChI=1S/C19H24N2O3/c22-15-21(24)13-7-3-1-2-4-10-19(23)20-18-12-11-16-8-5-6-9-17(16)14-18/h5-6,8-9,11-12,14-15,24H,1-4,7,10,13H2,(H,20,23)"
CHEMBL141885,O=CN(O)CCCCCNC(=O)CCc1ccccc1,5.01,0.0,"InChI=1S/C15H22N2O3/c18-13-17(20)12-6-2-5-11-16-15(19)10-9-14-7-3-1-4-8-14/h1,3-4,7-8,13,20H,2,5-6,9-12H2,(H,16,19)"
CHEMBL137875,O=CN(O)CCCCCCCC(=O)Nc1cccc2ccccc12,6.19,0.0,"InChI=1S/C19H24N2O3/c22-15-21(24)14-7-3-1-2-4-13-19(23)20-18-12-8-10-16-9-5-6-11-17(16)18/h5-6,8-12,15,24H,1-4,7,13-14H2,(H,20,23)"
CHEMBL139193,O=CN(O)CCCCCCC(=O)Nc1ccccc1,5.4,0.0,"InChI=1S/C14H20N2O3/c17-12-16(19)11-7-2-1-6-10-14(18)15-13-8-4-3-5-9-13/h3-5,8-9,12,19H,1-2,6-7,10-11H2,(H,15,18)"
CHEMBL337584,O=CN(O)CCCCCNC(=O)c1ccccc1,4.66,0.0,"InChI=1S/C13H18N2O3/c16-11-15(18)10-6-2-5-9-14-13(17)12-7-3-1-4-8-12/h1,3-4,7-8,11,18H,2,5-6,9-10H2,(H,14,17)"
CHEMBL343717,O=CN(O)CCCCCNC(=O)c1ccc2ccccc2c1,5.16,0.0,"InChI=1S/C17H20N2O3/c20-13-19(22)11-5-1-4-10-18-17(21)16-9-8-14-6-2-3-7-15(14)12-16/h2-3,6-9,12-13,22H,1,4-5,10-11H2,(H,18,21)"
CHEMBL139192,O=CN(O)CCCCCCCC(=O)Nc1ccccc1,5.55,0.0,"InChI=1S/C15H22N2O3/c18-13-17(20)12-8-3-1-2-7-11-15(19)16-14-9-5-4-6-10-14/h4-6,9-10,13,20H,1-3,7-8,11-12H2,(H,16,19)"
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,6.1705704,0.57440114,"InChI=1S/C14H20N2O3/c17-13(15-12-8-4-3-5-9-12)10-6-1-2-7-11-14(18)16-19/h3-5,8-9,19H,1-2,6-7,10-11H2,(H,15,17)(H,16,18)"
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,6.38963,0.5194481,"InChI=1S/C17H22N2O3/c1-12(5-10-16(20)18-22)11-13(2)17(21)14-6-8-15(9-7-14)19(3)4/h5-11,13,22H,1-4H3,(H,18,20)/b10-5+,12-11+/t13-/m1/s1"
CHEMBL2371801,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,6.43,0.0,"InChI=1S/C30H41F3N4O6/c1-4-18(2)25-29(42)37-16-8-10-23(37)28(41)34-21(9-6-5-7-11-24(38)30(31,32)33)26(39)35-22(27(40)36-25)17-19-12-14-20(43-3)15-13-19/h12-15,18,21-23,25H,4-11,16-17H2,1-3H3,(H,34,41)(H,35,39)(H,36,40)/t18-,21-,22+,23+,25-/m0/s1"
CHEMBL2371802,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)C(F)(F)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,6.11,0.0,"InChI=1S/C31H41F5N4O6/c1-4-18(2)25-29(45)40-16-8-10-23(40)28(44)37-21(9-6-5-7-11-24(41)30(32,33)31(34,35)36)26(42)38-22(27(43)39-25)17-19-12-14-20(46-3)15-13-19/h12-15,18,21-23,25H,4-11,16-17H2,1-3H3,(H,37,44)(H,38,42)(H,39,43)/t18-,21-,22+,23+,25-/m0/s1"
CHEMBL2371803,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCSCC(=O)C(F)(F)F)NC(=O)[C@H]2CCCN2C1=O,6.64,0.0,"InChI=1S/C30H41F3N4O6S/c1-4-18(2)25-29(42)37-14-7-9-23(37)28(41)34-21(8-5-6-15-44-17-24(38)30(31,32)33)26(39)35-22(27(40)36-25)16-19-10-12-20(43-3)13-11-19/h10-13,18,21-23,25H,4-9,14-17H2,1-3H3,(H,34,41)(H,35,39)(H,36,40)/t18-,21-,22+,23+,25-/m0/s1"
CHEMBL216641,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,6.7,0.0,"InChI=1S/C36H41N5O5/c1-23-28(29-21-25(46-2)17-18-31(29)38-23)22-34(43)39-32(15-7-4-8-16-33(42)41-45)36(44)37-20-19-27-26-13-9-10-14-30(26)40-35(27)24-11-5-3-6-12-24/h3,5-6,9-14,17-18,21,32,38,40,45H,4,7-8,15-16,19-20,22H2,1-2H3,(H,37,44)(H,39,43)(H,41,42)/t32-/m0/s1"
CHEMBL217651,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,5.52,0.0,"InChI=1S/C25H34N4O3S/c1-18(30)11-5-3-8-14-20(26-24(32)22-15-9-10-16-29(22)2)23(31)28-25-27-21(17-33-25)19-12-6-4-7-13-19/h4,6-7,12-13,17,20,22H,3,5,8-11,14-16H2,1-2H3,(H,26,32)(H,27,28,31)/t20-,22?/m0/s1"
CHEMBL388195,COC(=O)[C@@H]1Cc2cccc(c2)C[C@H](NC(C)=O)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N1,6.64,0.0,"InChI=1S/C23H32N4O7/c1-14(28)24-18-12-15-7-6-8-16(11-15)13-19(23(32)34-2)26-21(30)17(25-22(18)31)9-4-3-5-10-20(29)27-33/h6-8,11,17-19,33H,3-5,9-10,12-13H2,1-2H3,(H,24,28)(H,25,31)(H,26,30)(H,27,29)/t17-,18-,19-/m0/s1"
CHEMBL389687,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,5.8,0.0,"InChI=1S/C29H34N4O4/c30-25(20-21-10-4-3-5-11-21)29(36)32-26-13-9-8-12-24(26)22-16-18-23(19-17-22)31-27(34)14-6-1-2-7-15-28(35)33-37/h3-5,8-13,16-19,25,37H,1-2,6-7,14-15,20,30H2,(H,31,34)(H,32,36)(H,33,35)/t25-/m0/s1"
CHEMBL180064,CN(C)c1ccc(C(=O)NCCCNC(=O)CS)cc1,4.91,0.0,"InChI=1S/C14H21N3O2S/c1-17(2)12-6-4-11(5-7-12)14(19)16-9-3-8-15-13(18)10-20/h4-7,20H,3,8-10H2,1-2H3,(H,15,18)(H,16,19)"
CHEMBL180911,CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1,4.99,0.0,"InChI=1S/C16H25N3O2S/c1-19(2)14-8-6-13(7-9-14)16(21)18-11-5-3-4-10-17-15(20)12-22/h6-9,22H,3-5,10-12H2,1-2H3,(H,17,20)(H,18,21)"
